comm_code,comm_name,median_assessed_value,assessment_class,service_count,service_rank,total_crime_2024,safety_rank,affordability_rank,overall_score,overall_rank
COV,COVENTRY HILLS,550500.0,Medium,0,113,96.0,140,65,318,157
CRM,CRESTMONT,841500.0,High,0,113,18.0,36,170,319,158
LIV,LIVINGSTON,642000.0,Medium,0,113,58.0,103,104,320,159
STA,ST. ANDREWS HEIGHTS,1000000.0,High,2,6,89.0,130,184,320,159
BEL,BEL-AIRE,2480000.0,High,0,113,5.0,8,202,323,161
BYV,BAYVIEW,1385000.0,High,0,113,10.0,15,195,323,161
ALT,ALTADORE,1000000.0,High,1,27,64.0,113,184,324,163
UNI,UNIVERSITY HEIGHTS,1050000.0,High,0,113,15.0,25,187,325,164
CHK,CHINOOK PARK,913500.0,High,0,113,16.0,31,182,326,165
CGR,COUGAR RIDGE,783000.0,High,0,113,29.0,55,158,326,165
SIG,SIGNAL HILL,798500.0,High,1,27,94.0,137,162,326,165
QPK,QUEENS PARK VILLAGE,42860000.0,High,0,113,7.0,10,204,327,168
RIC,RICHMOND,838000.0,High,1,27,90.0,131,169,327,168
BRE,BRENTWOOD,741000.0,Medium,2,6,135.0,175,146,327,168
RCK,ROSSCARROCK,724500.0,Medium,2,6,146.0,182,139,327,168
ROX,ROXBORO,1845000.0,High,0,113,11.0,17,199,329,172
MDH,MEDICINE HILL,8020000.0,High,0,113,10.0,15,203,331,173
CHR,CHRISTIE PARK,1090000.0,High,0,113,16.0,31,188,332,174
HAM,HAMPTONS,979000.0,High,0,113,19.0,37,183,333,175
NEB,NEW BRIGHTON,640500.0,Medium,0,113,72.0,119,101,333,175
WHL,WEST HILLHURST,899500.0,High,1,27,84.0,126,180,333,175
BRT,BRITANNIA,2050000.0,High,0,113,12.0,20,201,334,178
CAR,CARRINGTON,724500.0,Medium,0,113,48.0,82,139,334,178
VAR,VARSITY,742250.0,Medium,1,27,116.0,161,147,335,180
NOL,NOLAN HILL,764000.0,Medium,0,113,41.0,73,151,337,181
PUM,PUMP HILL,1200000.0,High,0,113,17.0,33,192,338,182
EVE,EVERGREEN,641000.0,Medium,0,113,81.0,124,103,340,183
MEA,MEADOWLARK PARK,786000.0,High,1,27,108.0,154,159,340,183
SCA,SCARBORO,1195000.0,High,0,113,19.0,37,191,341,185
CSC,CITYSCAPE,684000.0,Medium,0,113,62.0,109,122,344,186
BNF,BANFF TRAIL,804500.0,High,1,27,112.0,156,164,347,187
LKB,LAKE BONAVISTA,847250.0,High,1,27,104.0,149,174,350,188
WBN,WOODBINE,646500.0,Medium,0,113,91.0,133,106,352,189
EVN,EVANSTON,666500.0,Medium,0,113,83.0,125,116,354,190
COR,CORAL SPRINGS,719500.0,Medium,0,113,59.0,106,137,356,191
HIL,HILLHURST,880250.0,High,2,6,131.0,173,178,357,192
DIS,DISCOVERY RIDGE,1110000.0,High,0,113,33.0,60,189,362,193
SHW,SHERWOOD,796000.0,High,0,113,52.0,92,161,366,194
CNS,CORNERSTONE,595000.0,Medium,0,113,133.0,174,82,369,195
TAR,TARADALE,565000.0,Medium,0,113,167.0,189,73,375,196
WSP,WEST SPRINGS,893000.0,High,0,113,55.0,96,179,388,197
CRA,CRANSTON,655000.0,Medium,0,113,124.0,168,111,392,198
PAN,PANORAMA HILLS,703000.0,Medium,0,113,105.0,151,130,394,199
AUB,AUBURN BAY,687500.0,Medium,0,113,113.0,158,123,394,199
SPH,SPRINGBANK HILL,819250.0,High,0,113,72.0,119,167,399,201
ASP,ASPEN WOODS,1250000.0,High,0,113,57.0,99,194,406,202
SAD,SADDLE RIDGE,616500.0,Medium,0,113,309.0,202,93,408,203
MAH,MAHOGANY,763500.0,Medium,0,113,123.0,166,150,429,204
